0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
redes-sociales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redes-sociales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marketing,investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,marketing,project-management,crm,english,automatizacion,,,,,,,,,,,,,,,,,,,,,,,,,,,
marketing,project-management,digital-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seo,sem,marketing,redes-sociales,e-commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,marketing,diseno-web,redes-sociales,adobe-suite,advertising,photoshop,english,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,excel,marketing,power-bi,crm,salesforce,data-visualization,google-tag-manager,,,,,,,,,,,,,,,,,,,,,,,,,
javascript,java,html5,css,php,seo,mysql,trafficker,full-stack,back-end,,,,,,,,,,,,,,,,,,,,,,,
marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redes-sociales,graphic-design,advertising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marketing,advertising,facebook-ads,digital-marketing,paid-media,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,seo,marketing,media-planning,semrush,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,seo,semrush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,marketing,scrum,branding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-analysis,marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,seo,sem,marketing,redes-sociales,business-intelligence,power-bi,data-visualization,tableau,,,,,,,,,,,,,,,,,,,,,,,,
seo,marketing,redes-sociales,advertising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,facebook-ads,paid-media,google-tag-manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excel,marketing,business-intelligence,power-bi,data-visualization,tableau,,,,,,,,,,,,,,,,,,,,,,,,,,,
diseno-ui,diseno-web,adobe-suite,graphic-design,photoshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,html5,css,agile,front-end,diseno-web,scrum,sketch,english,figma,,,,,,,,,,,,,,,,,,,,,,
javascript,ux,diseno-ui,html5,css,agile,lean,diseno-web,graphic-design,design-thinking,figma,,,,,,,,,,,,,,,,,,,,,,
diseno-ui,diseno-web,adobe-suite,photoshop,figma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
